,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BSU_00010,dnaA,5565.33496270455,-0.308568104933654,0.16878690017461,-1.82815197514997,0.0675267463052945,0.255513527251882
BSU_00020,dnaN,3618.13513392681,0.121786526974684,0.176596597993881,0.689631218031188,0.490426130303232,0.739622633989611
BSU_00030,rlbA,247.645505881998,-0.0035971429513357,0.238478077605987,-0.0150837468477039,0.987965367624983,0.994943932280255
BSU_00040,recF,2387.13644764632,-0.141921920901211,0.181964347795429,-0.779943558288488,0.43542409806193,0.69574567493474
BSU_00050,remB,164.604563413879,-0.269561671091563,0.253012468778712,-1.06540864326858,0.286691047141053,0.569845441001645
BSU_00060,gyrB,5053.40855710804,0.0132224002080567,0.182734703140213,0.0723584517928763,0.942316648748839,0.980226410586802
BSU_00070,gyrA,9703.42512751932,-0.343812176803679,0.193225881020549,-1.77932777424943,0.0751860400102323,0.270854448516174
BSU_rRNA_1,rrnO-16S,1118.61202009904,0.102194055763483,0.410927883604664,0.248690974355489,0.803599830968271,0.922622029051687
BSU_tRNA_5,trnO-Ile,3.79073242502386,1.54899414464346,1.60968652650306,0.962295527197176,0.335901175139051,
BSU_tRNA_6,trnO-Ala,113.357791879264,0.148375629618029,0.460181571383686,0.322428447475395,0.74712813601689,0.896977511999968
BSU_rRNA_2,rrnO-23S,1839.58453440882,0.0024254805167317,0.371068248254972,0.0065364808984279,0.994784679947119,0.996532105984667
BSU_rRNA_3,rrnO-5S,1.40646527186427,2.01488494758242,3.40996266683503,0.590881820255393,0.554599607770315,
BSU_00080,yaaC,8.58241567283278,1.66608894973992,0.95904405480043,1.737239224205,0.0823449540977246,
BSU_00090,guaB,13216.0543663003,0.23466701650726,0.185067511143114,1.26800763168956,0.204795225202644,0.475742911635513
BSU_00100,dacA,7607.69143376568,0.0305078365130865,0.191474764474689,0.159330847575579,0.873408218334566,0.956160828382564
BSU_00110,pdxS,11295.5402583708,-0.112672466658698,0.191598238460335,-0.588066297290219,0.556487793848486,0.787779974874608
BSU_00120,pdxT,10508.1165412465,-0.100564233308845,0.179263934434687,-0.560984191415729,0.574808314092268,0.799245834154069
BSU_misc_RNA_1,tboS,4075.86852099857,-0.358802190410845,0.163678847867577,-2.19211092383257,0.0283714981698799,0.155149343416658
BSU_00130,serS,3928.398491357,-0.1892876914266,0.158556877378143,-1.19381571179134,0.232550064268325,0.513175970655793
BSU_tRNA_7,trnSL-Ser1,223.946152302104,-0.0138589757085531,0.41793776386858,-0.0331603815368812,0.973546691687924,0.988791839595009
BSU_00140,dck,590.377079360023,0.0938296165011831,0.234924092585384,0.399403975422744,0.689595565197389,0.868137967917999
BSU_00150,dgk,432.9501408141,-0.249598001356033,0.228323316152888,-1.09317789160394,0.274315701992196,0.557527627289147
