,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BSU_00010,dnaA,5393.09353499519,-0.406414191147996,0.20245357508435,-2.00744388425182,0.0447024200748287,0.215108247902545
BSU_00020,dnaN,3447.46807222612,-0.0546519506639803,0.238643752954959,-0.22901060676118,0.818860672183925,0.939600052959626
BSU_00030,rlbA,235.778353526681,-0.139043618237707,0.25676434769475,-0.541522292662715,0.588147636390485,0.824241140062643
BSU_00040,recF,2252.26399037463,-0.323289542912407,0.204146531849986,-1.58361516104506,0.113281321671269,0.37312584169087
BSU_00050,remB,162.778914293475,-0.272726066410135,0.263937497672323,-1.03329791642081,0.30146450203927,0.618514194531836
BSU_00060,gyrB,4906.5618287957,-0.058218475494086,0.183581548434082,-0.317125963860089,0.75114802458336,0.910852727298715
BSU_00070,gyrA,9398.25667576178,-0.432242863274591,0.185760401641489,-2.32688376777309,0.0199714523679614,0.124426247964029
BSU_rRNA_1,rrnO-16S,1228.73481152919,0.224949690503927,0.781992192775538,0.287662322695971,0.773605233569019,0.92157084692455
BSU_tRNA_5,trnO-Ile,2.69672768912624,-0.137291119063056,2.34960386548518,-0.0584316024840663,0.953404842625291,0.984212141961822
BSU_tRNA_6,trnO-Ala,110.135677139216,-0.44991257402032,0.47727916464733,-0.942661250156957,0.345854199728355,0.653760943255378
BSU_rRNA_2,rrnO-23S,2042.39441208593,0.112662949389105,0.755736027717731,0.149077118540106,0.881492780877395,0.961052864465164
BSU_rRNA_3,rrnO-5S,1.40519125394654,1.97489877746902,2.86194693436831,0.690054296169166,0.490160043119353,
BSU_00080,yaaC,8.71278649581915,1.70212883298754,1.02227306094298,1.66504322379134,0.095904132666698,0.337999938005672
BSU_00090,guaB,13796.1828220496,0.236619687542503,0.223131970677794,1.06044726277341,0.28894117016379,0.607704866832074
BSU_00100,dacA,6863.47922336888,-0.319453405189837,0.189423427589,-1.68645140284849,0.0917088878663173,0.32854368012919
BSU_00110,pdxS,11114.3303394608,-0.163039712549297,0.169397629296294,-0.962467498669203,0.33581482174049,0.649466170949178
BSU_00120,pdxT,10252.474149485,-0.168021656352609,0.173236627682424,-0.969896831867594,0.332097919403069,0.648069537768091
BSU_misc_RNA_1,tboS,4130.93576935789,-0.321687646302082,0.194615448083324,-1.65293993601347,0.0983430883384265,0.342879315632974
BSU_00130,serS,4152.29473907281,-0.0133302998461654,0.182005446786569,-0.0732412138291518,0.941614170543062,0.980016995776273
BSU_tRNA_7,trnSL-Ser1,236.443137144245,-0.164542033598408,0.374947373530051,-0.438840341910596,0.660777226741657,0.863237528551292
BSU_00140,dck,583.41914809247,0.0635767603449915,0.22114261877562,0.287492120229883,0.773735534551271,0.92157084692455
BSU_00150,dgk,439.906171919166,-0.199996988903958,0.214677065113594,-0.931617864247079,0.351534047560715,0.65684616010795
BSU_00160,sleL,26.3499148610206,0.254386939797567,0.591068960255031,0.430384535313452,0.666915942875877,0.86737858625026
BSU_00170,yaaI,23.5924741790985,-0.0629107357718233,0.823079794551137,-0.0764333375552384,0.939074347637476,0.978451913465335
BSU_00180,tadA,215.038704843086,-0.431492009826228,0.276287061745021,-1.56175250155015,0.118346305311567,0.381817351001403
BSU_misc_RNA_2,scr,11439.3130628306,0.265240431419916,0.362109452784705,0.732486902454922,0.463871434071853,0.744207042387229
BSU_00190,dnaX,2959.70634569138,-0.0879309899869092,0.172205333644873,-0.510617111129921,0.609619191815496,0.837235881426309
BSU_00200,ebfC,3378.03886406604,-0.0457588836320226,0.203301219012718,-0.225079238846866,0.821917631618695,0.941074647466407
BSU_00210,recR,1175.59887460715,-0.254571929816805,0.194387267828891,-1.30961216061173,0.190327072475652,0.494013274861969
BSU_00220,yaaL,477.064997267864,-0.525095465166975,0.252595687953905,-2.07879821472961,0.0376359010621704,0.193009776960686
BSU_00230,bofA,115.033912411411,-0.346266336437461,0.341875951386191,-1.01284204119497,0.311135616077679,0.628334236080826
BSU_rRNA_4,rrnA-16S,1247.0463378203,0.171121114078748,0.78664744227021,0.217532155936215,0.827793650100578,0.943296847420234
BSU_tRNA_8,trnA-Ile,2.71293409249233,-2.36578869910835,2.79644450863564,-0.845998800191675,0.39755341359573,0.696866524079314
BSU_tRNA_9,trnA-Ala,113.646976128471,-0.400846135818481,0.426418433683092,-0.940030036591672,0.347202153847661,0.653760943255378
BSU_rRNA_5,rrnA-23S,2043.04297890902,0.198378725391218,0.745087549864717,0.266248879648085,0.790047540588273,0.929484198500001
BSU_rRNA_26,rrnA-5S,5.63991293140671,0.18222551093075,1.74284614151255,0.104556281010901,0.916727907184855,0.973756996068242
BSU_00240,csfB,173.093939913016,0.0363906195289076,0.357184228247585,0.101881932770232,0.918850390891802,0.973756996068242
BSU_00250,xpaC,677.993686727368,-0.0419439530725808,0.248474019706454,-0.168806191979883,0.865949087729163,0.953217013927775
BSU_00260,yaaN,1340.77394349448,0.0236056223868827,0.207595625156205,0.11370963318288,0.909467975880589,0.971907547785905
BSU_00270,yaaO,1552.50042354964,-0.374794040268339,0.213788614927145,-1.75310570394996,0.0795838646443622,0.30138310238315
BSU_00280,tmk,590.247358618895,-0.340572391182461,0.259504924934097,-1.31239278510399,0.189387639988434,0.492603836475411
BSU_00290,darA,844.320713738021,-0.168269946668555,0.206061323314764,-0.816601310530838,0.414156305917606,0.710747059918578
BSU_00300,yaaR,866.114469170409,-0.184948801849223,0.208446047523064,-0.887274208587518,0.374931287833536,0.674749276579709
BSU_00310,holB,2095.89603992229,-0.317483138437951,0.171736743869227,-1.84866168581667,0.0645066794050837,0.266617320494059
BSU_00320,ricT,3158.31860169843,-0.420756302251617,0.190936149130705,-2.20364925220938,0.0275490206663903,0.157544803245615
BSU_00330,dnaH,1683.55539054568,-0.310552242687952,0.195098284511405,-1.5917733129519,0.111435648578528,0.371073723205458
BSU_00340,trmNF,464.707955809931,-0.220718772675617,0.219488426430759,-1.00560551763419,0.314605368659115,0.629952031777842
BSU_00350,yazA,115.225534734046,0.292964818665159,0.311664257089604,0.940001337981247,0.347216874370116,0.653760943255378
BSU_00360,rsmI,839.263974581365,-0.0919329582777129,0.202077540867476,-0.454939019363876,0.649153110401105,0.858346352617757
BSU_00370,abrB,1920.28205817395,-0.0481389184545531,0.227928438479729,-0.211201896418179,0.83272973100364,0.943296847420234
BSU_00380,metS,5465.95402822886,-0.177166776132848,0.186687042665363,-0.949004138709403,0.342618507130926,0.653760943255378
BSU_00390,dayD,524.322673907773,-0.29324001634843,0.257704221344969,-1.13789372489903,0.255164861856933,0.571531627849293
BSU_00400,yabE,4009.85874740414,0.277315565184664,0.190571625503677,1.45517762390767,0.145620093874267,0.434203353594217
BSU_00410,rnmV,314.062017706419,-0.260574792622391,0.291442190469494,-0.894087407875375,0.371275126068772,0.671943372192777
BSU_00420,rsmA,634.953578272836,-0.0959862865200932,0.242189182923688,-0.396327719352924,0.691863280828853,0.883002491058603
BSU_00430,prtG,8.88089912231829,-0.711605372145003,0.862432033621683,-0.825114727193862,0.409306459350801,0.70837744809593
BSU_00440,veg,905.855484497051,0.176139165474964,0.281690535796323,0.625293160726997,0.53177866790986,0.790034754652159
BSU_00450,sspF,15.0220071030702,-1.9376590874578,1.01080222588087,-1.91695174174078,0.0552440627688964,0.246629940668761
BSU_00460,ispE,1439.76366899968,-0.112647355505191,0.207322171970586,-0.543344469308246,0.586892651781323,0.824241140062643
BSU_00470,purR,3505.9757584692,-0.0294479295110908,0.231274917001941,-0.12732867832288,0.898680263013375,0.966951744123532
BSU_00480,ridA,3780.612448899,0.193783214025033,0.183162444042138,1.05798552229654,0.290062042894521,0.608929654278073
BSU_00490,spoVG,13390.0657950752,-0.243699984086602,0.355496565573907,-0.685519939392882,0.49301588270184,0.766492676765503
BSU_00500,glmU,7410.1303937211,-0.0274112028061369,0.189961271544389,-0.144298901472302,0.885264445728066,0.961688479756606
BSU_00510,prs,5286.46518796747,-0.153097647047417,0.187487141626973,-0.816576783446956,0.414170327220146,0.710747059918578
BSU_00520,ctc,6131.48304541967,0.130555085405273,0.199083502460393,0.655780533252607,0.511965343428222,0.781372393759524
BSU_00530,pth,838.276399010076,-0.0022348093449111,0.201628353905143,-0.0110838049392722,0.991156584234391,0.995373274973276
BSU_00540,fin,496.240393358357,0.220355824290863,0.219275800237969,1.00492541380181,0.3149327660843,0.630310561984076
BSU_00550,mfd,3041.58625412117,-0.283973339093924,0.218313276718999,-1.30076073870413,0.193340364640088,0.49788073294287
BSU_00560,spoVT,770.204491245138,-0.37051208151852,0.22197720246957,-1.66914474728238,0.0950886970389543,0.336693228098764
BSU_00570,yabM,372.09148556606,-0.082271221540599,0.229916458825876,-0.35783093546559,0.7204698382309,0.897249648210059
BSU_00580,yabN,1544.74702693019,-0.139628311053707,0.184439352826454,-0.757041861804236,0.44902478317437,0.733647166960365
BSU_00590,hslR,541.26728384034,0.0776044491266008,0.272232798639169,0.285066492775771,0.775593200319929,0.92195770359679
BSU_00600,spcP,714.773900792902,-0.0109438774947328,0.214661830870454,-0.0509819442532255,0.9593399082346,0.984360123180105
BSU_00610,spcQ,649.349925999032,0.117792947822749,0.202130831999726,0.582755963834892,0.560057593271013,0.808208222921033
BSU_00620,divIC,2260.72641182698,-0.15010648914013,0.225018235803734,-0.667085885745973,0.504717275128196,0.776310238427758
BSU_00630,yabR,8905.37306518463,0.0118522886094626,0.244125650871447,0.0485499519085927,0.96127795548283,0.984609569977209
BSU_tRNA_10,trnSL-Met1,10.1068314131277,0.689282122647468,0.820644948703485,0.839927332443155,0.400949131564025,0.699356674883228
BSU_tRNA_11,trnSL-Glu1,85.8671663001134,0.194717094019069,0.3876645872541,0.502282386426592,0.615468897256003,0.83952723738066
BSU_00640,spoIIE,187.956627694538,0.102575889948267,0.348502066535956,0.29433366340651,0.768502951624463,0.920340767038429
BSU_00650,yabS,114.229977936851,0.548051653222535,0.411999039459362,1.33022556057826,0.183443964876623,0.486550191486125
BSU_00660,prkT,57.6122273535495,0.115588584288287,0.415338523879731,0.278299694448178,0.78078231065124,0.924364457497107
BSU_00670,tilS,3747.54529706486,-0.175697033828637,0.188351058219386,-0.932816812868606,0.350914558923298,0.656844035623389
BSU_00680,hprT,2187.2108573428,-0.232462642190825,0.182386596689274,-1.27455989864685,0.202465058913189,0.507237049128621
BSU_00690,ftsH,17264.5260924438,-0.205148040773103,0.17825370688499,-1.15087671587927,0.24978295809784,0.566948605212458
BSU_00700,coaX,1313.25448407433,0.245586938757441,0.1797792874584,1.36604690245125,0.171924242485611,0.469175405472935
BSU_00710,hslO,1391.52755701229,0.377483695616395,0.214444085361817,1.76028961106338,0.0783587147438511,0.298071780614703
BSU_00720,yacD,1747.67492881424,0.204997777996824,0.230201631470396,0.890514010206686,0.373189948958083,0.673088955074656
BSU_00730,cysK,13870.7462544417,-0.232394190132405,0.387229038843925,-0.600146597543973,0.548408539980387,0.799213259198857
BSU_00740,pabB,1667.91615932781,-0.342663660419909,0.187718555114348,-1.82541177248662,0.0679389140989835,0.275713893033984
BSU_00750,pabA,1377.38813973945,-0.55362175701742,0.185689690918539,-2.9814350720218,0.0028690087671871,0.0343392063430367
BSU_00760,pabC,1070.19331659256,-0.494042278935703,0.194474116460652,-2.54040120056626,0.0110725372481233,0.0850662870519674
BSU_00770,folP,1436.42378156217,-0.560846119589678,0.177277912355125,-3.16365480695748,0.0015580146739874,0.0215635320839501
BSU_00780,folB,562.851891951743,-0.335856876622195,0.218521895124529,-1.53694839792049,0.124305946331203,0.394411218954033
BSU_00790,folK,742.200363212265,-0.45475065259815,0.234087807078723,-1.94264988968528,0.0520584746252958,0.236984547955321
BSU_00800,yazB,480.379681260136,-0.411630711360334,0.231060356712547,-1.78148565689452,0.0748331459868074,0.290781211449523
BSU_00810,dusB,3553.0268180741,-0.282299064184519,0.176531231389241,-1.59914515954441,0.109788352357877,0.367315519030409
BSU_00820,lysS,4845.70908263321,-0.360013747949848,0.177278117501238,-2.03078503440975,0.0422768058198079,0.206713633979705
