,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BSU_00010,dnaA,4779.4884189734,-0.0968628413739927,0.1811082581148,-0.534833929619011,0.592764698707798,0.898366832829155
BSU_00020,dnaN,3596.12861945485,-0.175593349392227,0.220978423334849,-0.794617622581867,0.426835964139982,0.832215557217779
BSU_00030,rlbA,236.082530721105,-0.133932275482808,0.214295259685814,-0.624989445306309,0.531977985397259,0.876684857769136
BSU_00040,recF,2134.75827825879,-0.179914521305204,0.227834890782762,-0.789670628089842,0.429720149037081,0.833808322702387
BSU_00050,remB,148.127520757229,-0.0024721537744609,0.2528740241702,-0.0097762266510895,0.992199823942178,0.999423131013604
BSU_00060,gyrB,4928.94068323546,-0.0694507872053636,0.168450402839108,-0.412292200165874,0.680125264920008,0.930400779595188
BSU_00070,gyrA,8219.19046310861,-0.0866285919871079,0.164851980666431,-0.525493182653328,0.599240391259131,0.898499791048637
BSU_rRNA_1,rrnO-16S,1163.01059216946,0.107203214442568,0.369321051998185,0.290271063245792,0.771608874472954,0.950152533509292
BSU_tRNA_5,trnO-Ile,2.65127867059894,-2.11231576189848,1.61246221425164,-1.30999396031046,0.190197878786407,
BSU_tRNA_6,trnO-Ala,95.4000166127312,-0.540172493144684,0.524843069254629,-1.02920763326803,0.303382116119927,0.749682542382862
BSU_rRNA_2,rrnO-23S,1902.1607800028,0.101458975268482,0.386454353016949,0.262538057797558,0.792906648152604,0.955307888035457
BSU_rRNA_3,rrnO-5S,1.6688693172503,1.05533364639095,2.24947806633821,0.469146004214597,0.638965277799634,
BSU_00080,yaaC,12.7772509935389,0.152667323825019,0.734585991451334,0.207827709215353,0.83536349614219,0.965432140533785
BSU_00090,guaB,14734.0734327239,0.0006770635075546,0.248555740538536,0.0027239906271636,0.997826572622665,0.999423131013604
BSU_00100,dacA,6825.62762046327,-0.347320180925308,0.191482427858029,-1.81384884665669,0.0697009998985996,0.431045657267656
BSU_00110,pdxS,10600.3670915401,-0.0491335507287012,0.182972736402416,-0.268529354125419,0.788291882963584,0.953913529133166
BSU_00120,pdxT,9860.14597963664,-0.0656119119485357,0.175745115743206,-0.373335621141278,0.708898667963032,0.936291123941018
BSU_misc_RNA_1,tboS,3640.20588087488,0.0381674212689349,0.198369198033974,0.192405986651205,0.847424203344375,0.971658242840376
BSU_00130,serS,3891.69382505155,0.177584486613086,0.18134731281092,0.979250719850712,0.327456113350565,0.768957086414603
BSU_tRNA_7,trnSL-Ser1,186.197990093797,-0.0926181915458371,0.417462249613265,-0.221860040354878,0.824422838479387,0.963874479709582
BSU_00140,dck,594.655500229885,-0.0285610870719179,0.193089646075924,-0.147916201890429,0.882408901601326,0.98311799825554
BSU_00150,dgk,396.359336828542,0.0516221546423545,0.202267454172302,0.255217305490877,0.798555265702331,0.95687711052214
BSU_00160,sleL,28.029304563394,0.0594014190720904,0.675880270540458,0.0878874878602254,0.929966101361405,0.99005347982244
BSU_00170,yaaI,21.7862638513162,0.412492335069651,0.7099627958134,0.581005564660697,0.561236703148235,0.890091555806749
BSU_00180,tadA,171.176103604859,0.195335461877223,0.283362252066912,0.689348918045363,0.490603720859273,0.863246066392942
BSU_misc_RNA_2,scr,11030.0730876434,0.24239669290184,0.168880140779368,1.43531792301451,0.151196522683501,0.586436998175327
BSU_00190,dnaX,2790.90346570571,0.0408536941184278,0.188503243021309,0.216726744132511,0.828421304519447,0.963874479709582
BSU_00200,ebfC,2980.2508878899,0.210772248952068,0.242672644611307,0.868545563879547,0.385095740153818,0.811850913939053
BSU_00210,recR,1127.04291537141,-0.153253715819775,0.22575195167881,-0.678858874442059,0.49722728567443,0.863577215459756
BSU_00220,yaaL,419.402178380455,-0.214935105230094,0.25203286444084,-0.852805866040325,0.393766970368593,0.815499764967614
BSU_00230,bofA,105.283650812515,-0.159743339304784,0.289783026660602,-0.551251538592966,0.581461254236683,0.895927004568973
BSU_rRNA_4,rrnA-16S,1149.53576272385,0.138852024344159,0.378778126263685,0.366578782449275,0.713933237213258,0.938593998463571
BSU_tRNA_8,trnA-Ile,1.85603227740047,-3.12773217043061,2.1311135204402,-1.4676516011144,0.14219888374789,
BSU_tRNA_9,trnA-Ala,95.465527480897,-0.44489052660462,0.471492677150396,-0.943578868060998,0.345384895140846,0.780437022674026
BSU_rRNA_5,rrnA-23S,1935.38988051585,0.130990928207589,0.382926971790263,0.342078092841514,0.732292123424283,0.94216781191762
BSU_rRNA_26,rrnA-5S,2.38811113716045,-0.54305869975727,1.7771332306041,-0.305581309496232,0.759923453021931,
BSU_00240,csfB,143.879364859632,-0.0537109595656851,0.369358195019007,-0.14541699707765,0.884381645574525,0.98311799825554
BSU_00250,xpaC,579.12706436077,0.298362883371862,0.25890770282923,1.1523909103958,0.249160474447773,0.703752680032019
BSU_00260,yaaN,1168.2144089985,0.333761411560404,0.24144268456892,1.38236290801816,0.166860299106546,0.611005403236162
BSU_00270,yaaO,1345.39481894782,-4.49907765432181e-05,0.177372357224238,-0.0002536515680757,0.999797615332179,0.999797615332179
BSU_00280,tmk,548.305559675113,-0.194909405333354,0.212346896241005,-0.917882054240813,0.358680617814529,0.792127065505423
BSU_00290,darA,737.689255651451,0.164377127921605,0.222181156376674,0.739833794198681,0.459400850649301,0.845233699123938
BSU_00300,yaaR,701.573811645634,0.339798353665105,0.244027195488219,1.39246100413226,0.163782842398611,0.605270712139316
BSU_00310,holB,1736.35647371005,0.139378426640971,0.23969498649165,0.581482444339013,0.560915346822324,0.890091555806749
BSU_00320,ricT,2691.13517476434,0.0064031473933872,0.198017789504532,0.0323362229697079,0.974203922547183,0.995053328470775
BSU_00330,dnaH,1405.54274105463,0.145858254087925,0.207631022125579,0.702487771792152,0.482375024986442,0.860962214082722
BSU_00340,trmNF,390.915978942858,0.270491327938393,0.198844589984655,1.3603152490056,0.173730184862687,0.619071406258145
BSU_00350,yazA,112.552782580319,0.33717571670267,0.267986213442561,1.25818306983519,0.208325556332896,0.65929540884759
BSU_00360,rsmI,783.459416786477,0.0996392453844184,0.197367803423775,0.504840423088054,0.61367092153109,0.898563702169665
BSU_00370,abrB,1556.51567590529,0.31866037583966,0.430500913101136,0.740208362263793,0.459173574321027,0.845233699123938
BSU_00380,metS,4917.50439118192,0.0597052680543851,0.188950324479364,0.315983940323457,0.752014697875099,0.946082443337159
BSU_00390,dayD,513.710874801299,-0.248375470276395,0.186582276755235,-1.33118469018481,0.183128247692816,0.63149736404584
BSU_00400,yabE,4388.00790154129,-0.0040392723996768,0.203669721083754,-0.019832463943012,0.984177020490514,0.998127166502402
BSU_00410,rnmV,308.480205774249,-0.211993130416815,0.311823025971921,-0.67985078958186,0.496598943620243,0.863577215459756
