rRNA_gene	ID	start	end	coords
rrnO-16S	BSU_rRNA_1	9809	11361	NC_000964.3:9809-11361
rrnO-23S	BSU_rRNA_2	11707	14634	NC_000964.3:11707-14634
rrnO-5S	BSU_rRNA_3	14690	14801	NC_000964.3:14690-14801
rrnA-16S	BSU_rRNA_4	30279	31832	NC_000964.3:30279-31832
rrnA-23S	BSU_rRNA_5	32177	35103	NC_000964.3:32177-35103
rrnA-5S	BSU_rRNA_26	35237	35355	NC_000964.3:35237-35355
rrnJ-16S	BSU_rRNA_6	90533	92085	NC_000964.3:90533-92085
rrnJ-23S	BSU_rRNA_7	92251	95178	NC_000964.3:92251-95178
rrnJ-5S	BSU_rRNA_8	95234	95349	NC_000964.3:95234-95349
rrnW-16S	BSU_rRNA_9	96389	97941	NC_000964.3:96389-97941
rrnW-23S	BSU_rRNA_10	98107	101034	NC_000964.3:98107-101034
rrnW-5S	BSU_rRNA_11	101090	101205	NC_000964.3:101090-101205
rrnI-16S	BSU_rRNA_23	160892	162443	NC_000964.3:160892-162443
rrnI-23S	BSU_rRNA_14	162609	165534	NC_000964.3:162609-165534
rrnI-5S	BSU_rRNA_15	165590	165705	NC_000964.3:165590-165705
rrnH-23S	BSU_rRNA_29	168217	171140	NC_000964.3:168217-171140
rrnH-16S	BSU_rRNA_16	171196	171307	NC_000964.3:171196-171307
rrnH-5S	BSU_rRNA_24	171196	171307	NC_000964.3:171196-171307
rrnG-16S	BSU_rRNA_25	171497	173046	NC_000964.3:171497-173046
rrnG-23S	BSU_rRNA_27	173213	176140	NC_000964.3:173213-176140
rrnG-5S	BSU_rRNA_28	176196	176307	NC_000964.3:176196-176307
rrnE-16S	BSU_rRNA_30	634981	636533	NC_000964.3:634981-636533
rrnE-23S	BSU_rRNA_12	636702	639629	NC_000964.3:636702-639629
rrnE-5S	BSU_rRNA_13	639685	639800	NC_000964.3:639685-639800
rrnD-16S	BSU_rRNA_22	946030	947583	NC_000964.3:946030-947583
rrnD-23S	BSU_rRNA_17	947751	950679	NC_000964.3:947751-950679
rrnD-5S	BSU_rRNA_18	950791	950906	NC_000964.3:950791-950906
rrnB-5S	BSU_rRNA_21	3172866	3172981	NC_000964.3:3172866-3172981
rrnB-23S	BSU_rRNA_20	3173037	3175963	NC_000964.3:3173037-3175963
rrnB-16S	BSU_rRNA_19	3176132	3177681	NC_000964.3:3176132-3177681

