id	locus	title	outlinks->bsu	Gene->Coordinates
000E237B00539E6850B6A50EE01BA02844B6ACBC	BSU_17890	tkt	BSU_17890	1,919,861 1,921,864
001BF5429FA86D39BC64447929BC20FCBD988C69	BSU_20290	yorQ	BSU_20290	2,173,956  2,174,111
0021EF5F0934B4D6A1A52C5B34B36D135E6D8CE8	BSU_21700	ypoP	BSU_21700	2,288,194  2,288,619
002AB675506D7A5F238A703DEE2EE1E0DE1F2900	BSU_39850	yxbF	BSU_39850	4,092,695  4,093,837
003047E90159765F9F0E499FD760F95FFF4AC360	BSU_15640	rqcH	BSU_15640	1,636,131  1,637,849
0037A6808E75C2A2E207A7005EFDA71FCE90BAD8	BSU_02950	niaP	BSU_02950	317,725  318,927
0056478385A2ABFEF9CB17D2E6290AC71E6B3891	new_4047463_4047537	S1517	new_4047463_4047537	4,047,463 → 4,047,537
005D37F34CA3D6891F7D8FF7A2AFA1CBCB556FFE	BSU_01650	namZ	BSU_01650	185,194  186,438
00798BB5A769C464CC5FDDF7D9E41D30B473B9A8	BSU_00390	yabD	BSU_00390	47,706  48,473
0088EB2863FEC9E911332A8D9CDEB91D2A574FFA	BSU_17540	ynaF	BSU_17540	1,884,968  1,885,321
0098E3A710385B31987947E6206A89000CA32F55	new_4164565_4165231	S1559	new_4164565_4165231	4,164,565 → 4,165,231
00994D9EB7ACCF9CC9DD16915409751C7A688D52	new_2195060_2195563_c	S777	new_2195060_2195563_c	2,195,060 → 2,195,563
009BB4460A9374A8259DE7BD05724467198E0A90	BSU_05344	ydzS/2	BSU_05344	581,341  581,454
00A19F2D960FAD4A6DA34D027828E1135A3BE218	BSU_07180	yezB	BSU_07180	787,264 → 787,560
00A42FDB559BE2647CD682180420A435E2E7035F	BSU_29780	facZ	BSU_29780	3,047,593  3,048,015
00A4A90685CED4AD46829C45718CF26F1D62F5D3	BSU_05810	gmuB	BSU_05810	626,622  626,933
00A6C1AD9D27E900133E0F9007C76E1812C3A2AA	BSU_33870	yvbI	BSU_33870	3,473,372  3,474,070
00B4CA4E25858A56F9D4E0ADEE2643F203FEC613	BSU_16770	dapA	BSU_16770	1,748,368  1,749,240
00BCAAE16576DC5426A652580C69A570FC7A1C2C	BSU_08730	perR	BSU_08730	944,487  944,924
00BDD4E3370DB3A9F4D75FE265A2A8DF05185CCC	BSU_24360	spoIIIAH	BSU_24360	2,532,353  2,533,009
00CF2A4EDFB3F294B61AFD87E782B4CF95E42763	new_3582691_3582779_c	S1330	new_3582691_3582779_c	3,582,691 → 3,582,779
00E18FA53BD5DC6FAEEF2F3C2E5DC66F34C9B29D	new_1603712_1603778	S563	new_1603712_1603778	1,603,712 → 1,603,778
00E1BA27A59452CCE7E5AD95513FC0B3353E9729	BSU_02710	yczC	BSU_02710	292,881  293,264
00E354BDFAF1AB05538B0DB8C4F8216855189A8C	new_1369127_1369854_c	S464	new_1369127_1369854_c	1,369,127 → 1,369,854
00EA4A93E898A531A075DCC1C2948086DFD31FBA	new_1041710_1041809_c	S336	new_1041710_1041809_c	1,041,710 → 1,041,809
00F319EEC8420F859BA2657B9D4D1281853A94BD	BSU_40480	yycB	BSU_40480	4,159,790  4,160,998
010C64CC0257DEA32B1BC97C3B130CCD096C880F	new_1041733_1041928	S337	new_1041733_1041928	1,041,733 → 1,041,928
